gene,score,bucket,sub_bucket_id,sub_bucket_label,n_genes
SLC39A9,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
SP100,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
STAT1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
STC1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
TNF,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
TNNI3,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
TSPAN18,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
WARS2,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
ZC3H12A,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
ABL1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
ADGRB1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
CAV1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
CCND2,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
CDC42,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
CDKN1A,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
CDKN1B,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
CIB1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
CLASP2,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
CTNND1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
DSG2,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
DSTYK,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
FER,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
IQGAP1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
JUP,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
MIR106A,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
MIR15A,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
MIR15B,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
MIR16-1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
MIR221,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
MIR222,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
MYH9,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
MYO18B,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
MYO1E,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
NFKB1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
NUS1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
PAK1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
PLEKHG5,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
PTPRM,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
RAC1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
RAC2,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
RAC3,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
RHOA,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
RHOB,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
RHOD,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
RHOJ,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
RNF213,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
ROBO1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
ROCK2,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
RTN4,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
SASH1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
SH3BP1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
SLIT2,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
SRC,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
STARD13,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
VAV2,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
ZDHHC16,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,47
ALDH1A2,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_12,Endothelial Transcription Factors,70
AMOT,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_12,Endothelial Transcription Factors,70
BCAS3,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_12,Endothelial Transcription Factors,70
CHURC1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_12,Endothelial Transcription Factors,70
CITED1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_12,Endothelial Transcription Factors,70
CITED2,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_12,Endothelial Transcription Factors,70
CRIPTO,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_12,Endothelial Transcription Factors,70
CSNK2B,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_12,Endothelial Transcription Factors,70
CSRNP1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_12,Endothelial Transcription Factors,70
CTNNB1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_12,Endothelial Transcription Factors,70
EGR3,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_12,Endothelial Transcription Factors,70
